Title,Year,Runtime_minutes,Genres,Rating,Votes,IMDB_Link
One Day at a Time,(2017–2020),30.0,"Comedy, Drama            ",8.2,"15,479",https://www.imdb.com/title/tt5339440/
The Witcher,(2019– ),60.0,"Action, Adventure, Drama            ",8.2,"450,916",https://www.imdb.com/title/tt5180504/
Victoria,(2016–2019),60.0,"Biography, Drama, History            ",8.2,"25,744",https://www.imdb.com/title/tt5137338/
Legion,(2017–2019),60.0,"Action, Drama, Sci-Fi            ",8.2,"87,928",https://www.imdb.com/title/tt5114356/
The Durrells,(2016–2019),46.0,"Biography, Comedy, Drama            ",8.2,"10,466",https://www.imdb.com/title/tt5014882/
The Good Place,(2016–2020),22.0,"Comedy, Drama, Fantasy            ",8.2,"142,594",https://www.imdb.com/title/tt4955642/
Goliath,(2016–2021),60.0,Drama            ,8.2,"45,418",https://www.imdb.com/title/tt4687880/
Catastrophe,(2015–2019),24.0,Comedy            ,8.2,"18,507",https://www.imdb.com/title/tt4374208/
Dirk Gently's Holistic Detective Agency,(2016–2017),60.0,"Action, Adventure, Comedy            ",8.2,"48,466",https://www.imdb.com/title/tt4047038/
The Missing,(2014–2016),60.0,"Crime, Drama, Mystery            ",8.2,"25,095",https://www.imdb.com/title/tt3877200/
Grace and Frankie,(2015–2022),30.0,Comedy            ,8.2,"46,119",https://www.imdb.com/title/tt3609352/
11.22.63,(2016),60.0,"Drama, Mystery, Romance            ",8.2,"81,607",https://www.imdb.com/title/tt2879552/
The Originals,(2013–2018),45.0,"Drama, Fantasy, Horror            ",8.2,"129,403",https://www.imdb.com/title/tt2632424/
Penny Dreadful,(2014–2016),60.0,"Drama, Fantasy, Horror            ",8.2,"118,492",https://www.imdb.com/title/tt2628232/
Looking,(2014–2015),30.0,"Comedy, Drama, Romance            ",8.2,"18,156",https://www.imdb.com/title/tt2581458/
Happy!,(2017–2019),60.0,"Action, Comedy, Crime            ",8.2,"37,009",https://www.imdb.com/title/tt2452242/
Shetland,(2013– ),60.0,"Crime, Drama, Mystery            ",8.2,"16,102",https://www.imdb.com/title/tt2396135/
Black Sails,(2014–2017),56.0,"Action, Adventure, Drama            ",8.2,"100,382",https://www.imdb.com/title/tt2375692/
The Great,(2020– ),45.0,"Biography, Comedy, Drama            ",8.2,"36,335",https://www.imdb.com/title/tt2235759/
The Amazing World of Gumball,(2011–2019),11.0,"Animation, Short, Adventure            ",8.2,"28,045",https://www.imdb.com/title/tt1942683/
