Title,Year,Runtime_minutes,Genres,Rating,Votes,IMDB_Link
Into the Badlands,(2015–2019),42.0,"Action, Adventure, Drama            ",8.0,"45,068",https://www.imdb.com/title/tt3865236/
Vice Principals,(2016–2018),30.0,Comedy            ,8.0,"24,550",https://www.imdb.com/title/tt3766376/
Ófærð,(2015– ),60.0,"Crime, Drama, Mystery            ",8.0,"19,991",https://www.imdb.com/title/tt3561180/
The Honourable Woman,(2014),60.0,"Drama, Thriller            ",8.0,"10,602",https://www.imdb.com/title/tt3021686/
Star Wars: Rebels,(2014–2018),22.0,"Animation, Action, Adventure            ",8.0,"38,356",https://www.imdb.com/title/tt2930604/
The Blacklist,(2013– ),43.0,"Crime, Drama, Mystery            ",8.0,"232,251",https://www.imdb.com/title/tt2741602/
The Goldbergs,(2013– ),22.0,Comedy            ,8.0,"35,808",https://www.imdb.com/title/tt2712740/
Almost Human,(2013–2014),60.0,"Action, Crime, Drama            ",8.0,"49,545",https://www.imdb.com/title/tt2654580/
Derek,(2012–2014),23.0,"Comedy, Drama            ",8.0,"31,489",https://www.imdb.com/title/tt2616280/
Show Me a Hero,(2015),60.0,"Drama, History            ",8.0,"10,607",https://www.imdb.com/title/tt2492296/
In the Flesh,(2013–2014),56.0,"Drama, Horror            ",8.0,"13,168",https://www.imdb.com/title/tt2480514/
Orange Is the New Black,(2013–2019),59.0,"Comedy, Crime, Drama            ",8.0,"292,584",https://www.imdb.com/title/tt2372162/
Dragons: Riders of Berk,(2012–2014),22.0,"Animation, Action, Adventure            ",8.0,"10,800",https://www.imdb.com/title/tt2325846/
Comedians in Cars Getting Coffee,(2012– ),20.0,"Comedy, Family, Talk-Show            ",8.0,"12,139",https://www.imdb.com/title/tt2314952/
Chicago Fire,(2012– ),43.0,"Action, Drama            ",8.0,"52,635",https://www.imdb.com/title/tt2261391/
Altered Carbon,(2018–2020),60.0,"Action, Drama, Sci-Fi            ",8.0,"158,008",https://www.imdb.com/title/tt2261227/
Marco Polo,(2014–2016),60.0,"Action, Adventure, Drama            ",8.0,"70,272",https://www.imdb.com/title/tt2189461/
A Discovery of Witches,(2018–2022),60.0,"Drama, Fantasy, Romance            ",8.0,"47,636",https://www.imdb.com/title/tt2177461/
Da Vinci's Demons,(2013–2015),60.0,"Adventure, Biography, Drama            ",8.0,"75,737",https://www.imdb.com/title/tt2094262/
Hatfields & McCoys,(2012),290.0,"Drama, History, Romance            ",8.0,"26,317",https://www.imdb.com/title/tt1985443/
Lilyhammer,(2012–2014),45.0,"Comedy, Crime, Drama            ",8.0,"28,864",https://www.imdb.com/title/tt1958961/
American Horror Story,(2011– ),60.0,"Drama, Horror, Thriller            ",8.0,"304,568",https://www.imdb.com/title/tt1844624/
The Hour,(2011–2012),60.0,Drama            ,8.0,"10,114",https://www.imdb.com/title/tt1778108/
The Man in the High Castle,(2015–2019),60.0,"Drama, Sci-Fi, Thriller            ",8.0,"96,744",https://www.imdb.com/title/tt1740299/
Vera,(2011– ),90.0,"Crime, Drama, Mystery            ",8.0,"12,955",https://www.imdb.com/title/tt1693592/
Scooby-Doo! Mystery Incorporated,(2010–2013),23.0,"Animation, Adventure, Comedy            ",8.0,"11,094",https://www.imdb.com/title/tt1660055/
Ugly Americans,(2010–2012),30.0,"Animation, Comedy, Fantasy            ",8.0,"10,039",https://www.imdb.com/title/tt1621748/
Raising Hope,(2010–2014),22.0,"Comedy, Family            ",8.0,"36,901",https://www.imdb.com/title/tt1615919/
The Pillars of the Earth,(2010),60.0,"Drama, History, Romance            ",8.0,"30,462",https://www.imdb.com/title/tt1453159/
The Umbrella Academy,(2019– ),60.0,"Action, Adventure, Comedy            ",8.0,"195,133",https://www.imdb.com/title/tt1312171/
Toradora!,(2008–2009),24.0,"Animation, Comedy, Drama            ",8.0,"13,758",https://www.imdb.com/title/tt1279024/
Lie to Me,(2009–2011),43.0,"Crime, Drama, Mystery            ",8.0,"116,983",https://www.imdb.com/title/tt1235099/
Don't F**k with Cats: Hunting an Internet Killer,(2019),187.0,"Documentary, Crime            ",8.0,"47,448",https://www.imdb.com/title/tt11318602/
Yellowjackets,(2021– ),60.0,"Drama, Horror, Mystery            ",8.0,"27,847",https://www.imdb.com/title/tt11041332/
Ojing-eo geim,(2021– ),55.0,"Action, Drama, Mystery            ",8.0,"396,615",https://www.imdb.com/title/tt10919420/
Outnumbered,(2007–2016),30.0,"Comedy, Drama            ",8.0,"10,745",https://www.imdb.com/title/tt1086191/
Queen of the South,(2016–2021),42.0,"Action, Crime, Drama            ",8.0,"26,250",https://www.imdb.com/title/tt1064899/
Black Lagoon,(2006),25.0,"Animation, Action, Adventure            ",8.0,"13,988",https://www.imdb.com/title/tt0962826/
Phineas and Ferb,(2007–2015),15.0,"Animation, Short, Action            ",8.0,"41,963",https://www.imdb.com/title/tt0852863/
Sense & Sensibility,(2008),174.0,"Drama, Romance            ",8.0,"11,642",https://www.imdb.com/title/tt0847150/
Wolverine and the X-Men,(2008–2009),23.0,"Animation, Action, Adventure            ",8.0,"10,784",https://www.imdb.com/title/tt0772145/
Shameless,(2004–2013),90.0,"Comedy, Crime, Drama            ",8.0,"16,374",https://www.imdb.com/title/tt0377260/
Monk,(2002–2009),44.0,"Comedy, Crime, Drama            ",8.0,"72,065",https://www.imdb.com/title/tt0312172/
"Harvey Birdman, Attorney at Law",(2000–2007),15.0,"Animation, Comedy, Sci-Fi            ",8.0,"11,348",https://www.imdb.com/title/tt0294097/
Law & Order: Special Victims Unit,(1999– ),60.0,"Crime, Drama, Mystery            ",8.0,"97,828",https://www.imdb.com/title/tt0203259/
That '70s Show,(1998–2006),22.0,"Comedy, Drama, Romance            ",8.0,"163,599",https://www.imdb.com/title/tt0165598/
Millennium,(I) (1996–1999),45.0,"Crime, Drama, Horror            ",8.0,"10,885",https://www.imdb.com/title/tt0115270/
The Vicar of Dibley,(1994–2020),60.0,Comedy            ,8.0,"13,407",https://www.imdb.com/title/tt0108981/
Star Trek: Deep Space Nine,(1993–1999),45.0,"Action, Adventure, Drama            ",8.0,"59,806",https://www.imdb.com/title/tt0106145/
Boy Meets World,(1993–2000),23.0,"Comedy, Drama, Family            ",8.0,"41,561",https://www.imdb.com/title/tt0105958/
Tales from the Crypt,(1989–1996),25.0,"Comedy, Crime, Fantasy            ",8.0,"23,684",https://www.imdb.com/title/tt0096708/
Married with Children,(1987–1997),22.0,Comedy            ,8.0,"101,340",https://www.imdb.com/title/tt0092400/
The Golden Girls,(1985–1992),30.0,"Comedy, Drama            ",8.0,"39,336",https://www.imdb.com/title/tt0088526/
Transformers,(1984–1987),30.0,"Animation, Action, Adventure            ",8.0,"21,527",https://www.imdb.com/title/tt0086817/
The Black Adder,(1982–1983),195.0,Comedy            ,8.0,"37,605",https://www.imdb.com/title/tt0084988/
The Hitchhiker's Guide to the Galaxy,(1981),152.0,"Adventure, Comedy, Sci-Fi            ",8.0,"10,811",https://www.imdb.com/title/tt0081874/
Saturday Night Live,(1975– ),90.0,"Comedy, Music            ",8.0,"47,284",https://www.imdb.com/title/tt0072562/
Rise of Empires: Ottoman,(2020),44.0,"Documentary, Drama, History            ",7.9,"21,606",https://www.imdb.com/title/tt9244578/
Pennyworth,(2019– ),60.0,"Action, Crime, Drama            ",7.9,"12,518",https://www.imdb.com/title/tt8425532/
Doom Patrol,(2019– ),60.0,"Action, Adventure, Comedy            ",7.9,"48,606",https://www.imdb.com/title/tt8416494/
Giri/Haji,(2019),461.0,"Crime, Drama, Mystery            ",7.9,"13,359",https://www.imdb.com/title/tt8001106/
On My Block,(2018–2021),30.0,"Comedy, Drama            ",7.9,"15,152",https://www.imdb.com/title/tt7879820/
For All Mankind,(2019– ),60.0,"Drama, Sci-Fi            ",7.9,"28,504",https://www.imdb.com/title/tt7772588/
A Million Little Things,(2018– ),43.0,"Comedy, Drama, Romance            ",7.9,"12,146",https://www.imdb.com/title/tt7608248/
The Loudest Voice,(2019),50.0,"Biography, Drama            ",7.9,"12,764",https://www.imdb.com/title/tt6821044/
Big Mouth,(2017– ),30.0,"Animation, Comedy, Romance            ",7.9,"72,298",https://www.imdb.com/title/tt6524350/
The Bold Type,(2017–2021),45.0,"Comedy, Drama            ",7.9,"19,384",https://www.imdb.com/title/tt6116060/
The Sinner,(2017–2021),45.0,"Crime, Drama, Mystery            ",7.9,"112,098",https://www.imdb.com/title/tt6048596/
Waco,(2018),292.0,"Crime, Drama, History            ",7.9,"19,755",https://www.imdb.com/title/tt6040674/
The Spy,(2019),53.0,"Drama, History            ",7.9,"39,504",https://www.imdb.com/title/tt5952634/
His Dark Materials,(2019–2022),60.0,"Adventure, Drama, Family            ",7.9,"60,448",https://www.imdb.com/title/tt5607976/
Lethal Weapon,(2016–2019),44.0,"Action, Comedy, Crime            ",7.9,"37,288",https://www.imdb.com/title/tt5164196/
Medici,(2016–2019),60.0,"Biography, Drama, History            ",7.9,"18,087",https://www.imdb.com/title/tt5057130/
StartUp,(2016–2018),44.0,"Crime, Thriller            ",7.9,"27,701",https://www.imdb.com/title/tt5028002/
Preacher,(2016–2019),60.0,"Adventure, Drama, Fantasy            ",7.9,"72,499",https://www.imdb.com/title/tt5016504/
Death Parade,(2015),24.0,"Animation, Drama, Mystery            ",7.9,"14,254",https://www.imdb.com/title/tt4279012/
Strike,(2017– ),60.0,"Crime, Drama, Mystery            ",7.9,"13,623",https://www.imdb.com/title/tt4276618/
Red Oaks,(2014–2017),30.0,"Comedy, Drama, Sport            ",7.9,"11,271",https://www.imdb.com/title/tt3973820/
Versailles,(2015–2018),52.0,"Biography, Drama, History            ",7.9,"15,896",https://www.imdb.com/title/tt3830558/
Grantchester,(2014– ),45.0,"Crime, Drama, Mystery            ",7.9,"12,882",https://www.imdb.com/title/tt3747572/
Zankyô no teroru,(2014),23.0,"Animation, Crime, Drama            ",7.9,"10,034",https://www.imdb.com/title/tt3613454/
And Then There Were None,(2015),58.0,"Crime, Drama, Mystery            ",7.9,"37,239",https://www.imdb.com/title/tt3581932/
Bloodline,(2015–2017),60.0,"Drama, Thriller            ",7.9,"49,473",https://www.imdb.com/title/tt3520702/
Flesh and Bone,(2015),60.0,Drama            ,7.9,"10,585",https://www.imdb.com/title/tt3507484/
Agent Carter,(2015–2016),42.0,"Action, Adventure, Sci-Fi            ",7.9,"79,812",https://www.imdb.com/title/tt3475734/
Noragami,(2014–2016),24.0,"Animation, Action, Adventure            ",7.9,"14,111",https://www.imdb.com/title/tt3225270/
Kiru ra kiru: KILL la KILL,(2013–2014),25.0,"Animation, Action, Comedy            ",7.9,"13,178",https://www.imdb.com/title/tt3114390/
The Terror,(2018–2019),60.0,"Adventure, Drama, History            ",7.9,"42,903",https://www.imdb.com/title/tt2708480/
The Affair,(2014–2019),60.0,Drama            ,7.9,"44,075",https://www.imdb.com/title/tt2699110/
Jessica Jones,(2015–2019),56.0,"Action, Crime, Drama            ",7.9,"206,075",https://www.imdb.com/title/tt2357547/
Defending Jacob,(2020),402.0,"Crime, Drama, Mystery            ",7.9,"47,703",https://www.imdb.com/title/tt2304589/
The Bletchley Circle,(2012–2014),45.0,"Crime, Drama, Mystery            ",7.9,"12,018",https://www.imdb.com/title/tt2275990/
The Fosters,(2013–2018),60.0,"Drama, Romance            ",7.9,"27,086",https://www.imdb.com/title/tt2262532/
Elementary,(2012–2019),60.0,"Crime, Drama, Mystery            ",7.9,"107,931",https://www.imdb.com/title/tt2191671/
Masters of Sex,(2013–2016),60.0,"Drama, Romance            ",7.9,"36,246",https://www.imdb.com/title/tt2137109/
Awake,(2012),43.0,"Drama, Fantasy, Mystery            ",7.9,"20,861",https://www.imdb.com/title/tt1839683/
The Borgias,(2011–2013),50.0,"Crime, Drama, History            ",7.9,"50,354",https://www.imdb.com/title/tt1582457/
Dota: Dragon's Blood,(2021– ),25.0,"Animation, Action, Adventure            ",7.9,"16,517",https://www.imdb.com/title/tt14069590/
Rubicon,(2010),45.0,"Crime, Drama, Mystery            ",7.9,"10,524",https://www.imdb.com/title/tt1389371/
How to Make It in America,(2010–2011),30.0,"Comedy, Drama            ",7.9,"15,488",https://www.imdb.com/title/tt1299365/
Star Wars: The Bad Batch,(2021– ),,"Animation, Action, Adventure            ",7.9,"24,920",https://www.imdb.com/title/tt12708542/
Bored to Death,(2009–2011),28.0,"Comedy, Crime, Drama            ",7.9,"32,933",https://www.imdb.com/title/tt1255913/
Aarya,(2020– ),51.0,"Crime, Drama, Thriller            ",7.9,"13,089",https://www.imdb.com/title/tt12448030/
Merlin,(2008–2012),45.0,"Adventure, Drama, Fantasy            ",7.9,"79,131",https://www.imdb.com/title/tt1199099/
Whitechapel,(2009–2013),180.0,"Crime, Mystery, Thriller            ",7.9,"12,676",https://www.imdb.com/title/tt1186356/
Wallander,(2008–2016),90.0,"Crime, Drama, Mystery            ",7.9,"14,491",https://www.imdb.com/title/tt1178618/
Superman & Lois,(2021– ),42.0,"Action, Adventure, Drama            ",7.9,"26,564",https://www.imdb.com/title/tt11192306/
Leverage,(2008–2012),42.0,"Crime, Mystery, Thriller            ",7.9,"49,950",https://www.imdb.com/title/tt1103987/
Inside Bill's Brain: Decoding Bill Gates,(2019),52.0,Documentary            ,7.9,"10,582",https://www.imdb.com/title/tt10837476/
I Think You Should Leave with Tim Robinson,(2019– ),16.0,Comedy            ,7.9,"10,708",https://www.imdb.com/title/tt10050772/
United States of Tara,(2009–2011),30.0,"Comedy, Drama, Romance            ",7.9,"23,203",https://www.imdb.com/title/tt1001482/
Battlestar Galactica: The Resistance,(2006),26.0,"Drama, Sci-Fi            ",7.9,"10,706",https://www.imdb.com/title/tt0840800/
Burn Notice,(2007–2013),44.0,"Action, Crime, Drama            ",7.9,"72,289",https://www.imdb.com/title/tt0810788/
Jericho,(2006–2008),45.0,"Action, Drama, Mystery            ",7.9,"55,818",https://www.imdb.com/title/tt0805663/
Eureka,(2006–2012),60.0,"Adventure, Comedy, Drama            ",7.9,"51,888",https://www.imdb.com/title/tt0796264/
Erufen rîto,(2004),24.0,"Animation, Action, Drama            ",7.9,"32,198",https://www.imdb.com/title/tt0480489/
Lucky Louie,(2006–2007),30.0,Comedy            ,7.9,"10,305",https://www.imdb.com/title/tt0460619/
Weeds,(2005–2012),28.0,"Comedy, Crime, Drama            ",7.9,"107,354",https://www.imdb.com/title/tt0439100/
Reno 911!,(2003– ),22.0,"Comedy, Crime            ",7.9,"19,386",https://www.imdb.com/title/tt0370194/
Teen Titans,(2003–2006),30.0,"Animation, Action, Adventure            ",7.9,"30,005",https://www.imdb.com/title/tt0343314/
Undeclared,(2001–2003),22.0,Comedy            ,7.9,"16,885",https://www.imdb.com/title/tt0273028/
Da Ali G Show,(2000–2004),30.0,"Comedy, Talk-Show            ",7.9,"17,258",https://www.imdb.com/title/tt0241088/
Angel,(1999–2004),44.0,"Action, Drama, Fantasy            ",7.9,"68,671",https://www.imdb.com/title/tt0162065/
Teenage Mutant Ninja Turtles,(1987–1996),23.0,"Animation, Action, Adventure            ",7.9,"33,034",https://www.imdb.com/title/tt0131613/
Dexter's Laboratory,(1996–2003),23.0,"Animation, Adventure, Comedy            ",7.9,"47,093",https://www.imdb.com/title/tt0115157/
NewsRadio,(1995–1999),23.0,"Comedy, Romance            ",7.9,"15,074",https://www.imdb.com/title/tt0112095/
Rocko's Modern Life,(1993–1996),30.0,"Animation, Comedy, Family            ",7.9,"20,262",https://www.imdb.com/title/tt0106115/
Animaniacs,(1993–1998),21.0,"Animation, Short, Adventure            ",7.9,"23,109",https://www.imdb.com/title/tt0105941/
The Fresh Prince of Bel-Air,(1990–1996),22.0,Comedy            ,7.9,"129,770",https://www.imdb.com/title/tt0098800/
Thundercats,(1985–1989),30.0,"Animation, Action, Adventure            ",7.9,"17,420",https://www.imdb.com/title/tt0088631/
V,(1983),197.0,"Action, Adventure, Sci-Fi            ",7.9,"15,006",https://www.imdb.com/title/tt0085106/
Cheers,(1982–1993),22.0,"Comedy, Drama            ",7.9,"52,479",https://www.imdb.com/title/tt0083399/
Conversations with a Killer: The Ted Bundy Tapes,(2019),236.0,"Documentary, Biography, Crime            ",7.8,"27,338",https://www.imdb.com/title/tt9425132/
Mrs. America,(2020),458.0,"Biography, Drama, History            ",7.8,"11,128",https://www.imdb.com/title/tt9244556/
Mythic Quest: Raven's Banquet,(2020– ),30.0,Comedy            ,7.8,"20,068",https://www.imdb.com/title/tt8879940/
Sanditon,(2019– ),60.0,"Drama, Romance            ",7.8,"10,456",https://www.imdb.com/title/tt8685324/
The Capture,(2019– ),60.0,"Crime, Mystery, Thriller            ",7.8,"12,537",https://www.imdb.com/title/tt8201186/
She-Ra and the Princesses of Power,(2018–2020),30.0,"Animation, Action, Adventure            ",7.8,"14,340",https://www.imdb.com/title/tt7745956/
Russian Doll,(2019– ),30.0,"Adventure, Comedy, Drama            ",7.8,"79,532",https://www.imdb.com/title/tt7520794/
9-1-1,(2018– ),43.0,"Action, Drama, Thriller            ",7.8,"29,956",https://www.imdb.com/title/tt7235466/
Condor,(2018– ),60.0,"Action, Drama, Thriller            ",7.8,"14,263",https://www.imdb.com/title/tt6510950/
Good Girls,(2018–2021),43.0,"Comedy, Crime, Drama            ",7.8,"47,390",https://www.imdb.com/title/tt6474378/
Norsemen,(2016–2020),30.0,Comedy            ,7.8,"17,448",https://www.imdb.com/title/tt5905354/
The Mick,(2017–2018),30.0,Comedy            ,7.8,"15,855",https://www.imdb.com/title/tt5638056/
Santa Clarita Diet,(2017–2019),30.0,"Comedy, Horror            ",7.8,"63,689",https://www.imdb.com/title/tt5580540/
Imposters,(2017–2018),41.0,"Comedy, Crime, Drama            ",7.8,"13,052",https://www.imdb.com/title/tt5212822/
Catch-22,(2019),45.0,"Action, Adventure, Comedy            ",7.8,"17,037",https://www.imdb.com/title/tt5056196/
We Bare Bears,(2014–2019),30.0,"Animation, Adventure, Comedy            ",7.8,"14,452",https://www.imdb.com/title/tt4839610/
Talihsiz Serüvenler Dizisi,(2017–2019),50.0,"Adventure, Comedy, Drama            ",7.8,"58,370",https://www.imdb.com/title/tt4834206/
The OA,(2016–2019),60.0,"Drama, Fantasy, Mystery            ",7.8,"100,024",https://www.imdb.com/title/tt4635282/
Superstore,(2015–2021),22.0,Comedy            ,7.8,"49,700",https://www.imdb.com/title/tt4477976/
Better Things,(2016–2022),22.0,"Comedy, Drama            ",7.8,"13,785",https://www.imdb.com/title/tt4370596/
Mr. Mercedes,(2017–2019),60.0,"Crime, Drama, Mystery            ",7.8,"20,406",https://www.imdb.com/title/tt4354880/
Man Seeking Woman,(2015–2017),21.0,"Comedy, Fantasy, Romance            ",7.8,"10,205",https://www.imdb.com/title/tt4189492/
Crazy Ex-Girlfriend,(2015–2019),42.0,"Comedy, Musical            ",7.8,"19,225",https://www.imdb.com/title/tt4094300/
Gotham,(2014–2019),42.0,"Action, Crime, Drama            ",7.8,"222,657",https://www.imdb.com/title/tt3749900/
Akame ga Kill!,(2014),24.0,"Animation, Action, Adventure            ",7.8,"21,790",https://www.imdb.com/title/tt3742982/
Tokyo Ghoul,(2014),24.0,"Animation, Action, Drama            ",7.8,"47,378",https://www.imdb.com/title/tt3741634/
Jane the Virgin,(2014–2019),60.0,Comedy            ,7.8,"46,106",https://www.imdb.com/title/tt3566726/
Fresh Off the Boat,(2015–2020),22.0,Comedy            ,7.8,"24,448",https://www.imdb.com/title/tt3551096/
iZombie,(2015–2019),42.0,"Comedy, Crime, Drama            ",7.8,"65,369",https://www.imdb.com/title/tt3501584/
UnREAL,(2015–2018),42.0,Drama            ,7.8,"14,439",https://www.imdb.com/title/tt3314218/
Younger,(2015–2021),22.0,"Comedy, Romance            ",7.8,"22,250",https://www.imdb.com/title/tt3288518/
The Brink,(2015),30.0,Comedy            ,7.8,"13,942",https://www.imdb.com/title/tt3216586/
Vinyl,(2016),60.0,"Drama, Music            ",7.8,"23,072",https://www.imdb.com/title/tt3186130/
Star vs. the Forces of Evil,(2015–2019),22.0,"Animation, Action, Adventure            ",7.8,"13,595",https://www.imdb.com/title/tt2758770/
The Musketeers,(2014–2016),55.0,"Adventure, Drama            ",7.8,"21,850",https://www.imdb.com/title/tt2733252/
Drunk History,(2013–2019),22.0,"Comedy, History            ",7.8,"10,633",https://www.imdb.com/title/tt2712612/
Tyrant,(2014–2016),60.0,"Action, Drama, Thriller            ",7.8,"22,655",https://www.imdb.com/title/tt2568204/
The White Queen,(2013),60.0,"Drama, History, Romance            ",7.8,"26,169",https://www.imdb.com/title/tt2372220/
Devious Maids,(2013–2016),60.0,"Comedy, Drama, Mystery            ",7.8,"23,459",https://www.imdb.com/title/tt2226342/
A Young Doctor's Notebook & Other Stories,(2012–2013),23.0,"Comedy, Drama            ",7.8,"15,511",https://www.imdb.com/title/tt2164430/
Fresh Meat,(2011–2016),50.0,"Comedy, Drama            ",7.8,"17,312",https://www.imdb.com/title/tt2058303/
Death in Paradise,(2011– ),60.0,"Comedy, Crime, Drama            ",7.8,"18,948",https://www.imdb.com/title/tt1888075/
Revenge,(2011–2015),44.0,"Drama, Mystery, Thriller            ",7.8,"117,864",https://www.imdb.com/title/tt1837642/
Grimm,(2011–2017),45.0,"Crime, Drama, Fantasy            ",7.8,"115,869",https://www.imdb.com/title/tt1830617/
Portlandia,(2011–2018),22.0,Comedy            ,7.8,"20,253",https://www.imdb.com/title/tt1780441/
Wilfred,(2011–2014),22.0,"Comedy, Drama, Mystery            ",7.8,"41,812",https://www.imdb.com/title/tt1703925/
Episodes,(2011–2017),30.0,Comedy            ,7.8,"34,712",https://www.imdb.com/title/tt1582350/
Being Human,(2008–2013),60.0,"Comedy, Drama, Fantasy            ",7.8,"24,946",https://www.imdb.com/title/tt1349938/
Sweet Tooth,(2021– ),,"Action, Adventure, Drama            ",7.8,"47,779",https://www.imdb.com/title/tt12809988/
Sôru îtâ,(2008–2009),24.0,"Animation, Action, Adventure            ",7.8,"12,362",https://www.imdb.com/title/tt1214085/
The Marvelous Misadventures of Flapjack,(2008–2010),11.0,"Animation, Short, Adventure            ",7.8,"13,322",https://www.imdb.com/title/tt1178180/
Never Have I Ever,(2020– ),30.0,"Comedy, Drama            ",7.8,"43,510",https://www.imdb.com/title/tt10062292/
True Blood,(2008–2014),55.0,"Drama, Fantasy, Mystery            ",7.8,"239,289",https://www.imdb.com/title/tt0844441/
Carnival Row,(2019– ),56.0,"Crime, Drama, Fantasy            ",7.8,"56,881",https://www.imdb.com/title/tt0489974/
Bones,(2005–2017),40.0,"Comedy, Crime, Drama            ",7.8,"151,988",https://www.imdb.com/title/tt0460627/
Soupçons,(2004–2018),629.0,"Documentary, Crime, Drama            ",7.8,"21,455",https://www.imdb.com/title/tt0388644/
Star Wars: Clone Wars,(2003–2005),133.0,"Animation, Action, Adventure            ",7.8,"25,217",https://www.imdb.com/title/tt0361243/
Taken,(2002),877.0,"Drama, Mystery, Sci-Fi            ",7.8,"19,947",https://www.imdb.com/title/tt0289830/
X-Men: Evolution,(2000–2003),23.0,"Animation, Action, Drama            ",7.8,"11,618",https://www.imdb.com/title/tt0247827/
Recess,(1997–2001),23.0,"Animation, Adventure, Comedy            ",7.8,"24,615",https://www.imdb.com/title/tt0126170/
Midsomer Murders,(1997– ),90.0,"Crime, Drama, Mystery            ",7.8,"30,590",https://www.imdb.com/title/tt0118401/
Kenan & Kel,(1996–2000),30.0,"Comedy, Family            ",7.8,"15,256",https://www.imdb.com/title/tt0115231/
Star Trek: Voyager,(1995–2001),44.0,"Action, Adventure, Sci-Fi            ",7.8,"65,907",https://www.imdb.com/title/tt0112178/
Pinky and the Brain,(1995–1998),30.0,"Animation, Short, Adventure            ",7.8,"29,788",https://www.imdb.com/title/tt0112123/
ER,(1994–2009),44.0,"Drama, Romance            ",7.8,"57,642",https://www.imdb.com/title/tt0108757/
Keeping Up Appearances,(1990–1995),60.0,Comedy            ,7.8,"15,493",https://www.imdb.com/title/tt0098837/
The Twilight Zone,(1985–1989),45.0,"Drama, Fantasy, Horror            ",7.8,"11,063",https://www.imdb.com/title/tt0088634/
Evil,(2019– ),42.0,"Crime, Drama, Horror            ",7.7,"20,609",https://www.imdb.com/title/tt9055008/
The Outsider,(2020),60.0,"Crime, Drama, Fantasy            ",7.7,"75,666",https://www.imdb.com/title/tt8550800/
Devs,(2020),409.0,"Drama, Mystery, Sci-Fi            ",7.7,"34,945",https://www.imdb.com/title/tt8134186/
Little Fires Everywhere,(2020),463.0,Drama            ,7.7,"40,698",https://www.imdb.com/title/tt8089592/
See,(2019– ),60.0,"Action, Drama, Sci-Fi            ",7.7,"69,271",https://www.imdb.com/title/tt7949218/
You,(2018– ),45.0,"Crime, Drama, Romance            ",7.7,"219,776",https://www.imdb.com/title/tt7335184/
A Very English Scandal,(2018),180.0,"Biography, Comedy, Crime            ",7.7,"12,737",https://www.imdb.com/title/tt6938856/
Project Blue Book,(2019–2020),45.0,"Drama, Mystery, Sci-Fi            ",7.7,"12,450",https://www.imdb.com/title/tt6632666/
The Resident,(2018– ),60.0,Drama            ,7.7,"24,452",https://www.imdb.com/title/tt6483832/
SEAL Team,(2017– ),43.0,"Action, Drama, War            ",7.7,"22,645",https://www.imdb.com/title/tt6473344/
Seven Seconds,(2018),60.0,"Crime, Drama            ",7.7,"15,257",https://www.imdb.com/title/tt6297682/
McMafia,(2018– ),60.0,"Crime, Drama, Thriller            ",7.7,"15,226",https://www.imdb.com/title/tt6271042/
Workin' Moms,(2017– ),30.0,Comedy            ,7.7,"14,645",https://www.imdb.com/title/tt6143796/
Maniac,(2018),386.0,"Comedy, Drama, Sci-Fi            ",7.7,"74,188",https://www.imdb.com/title/tt5580146/
Timeless,(2016–2018),60.0,"Action, Adventure, Drama            ",7.7,"41,147",https://www.imdb.com/title/tt5511582/
Search Party,(2016–2022),24.0,"Comedy, Crime, Drama            ",7.7,"10,119",https://www.imdb.com/title/tt5460226/
Crashing,(2016),30.0,Comedy            ,7.7,"18,211",https://www.imdb.com/title/tt5295524/
Future Man,(2017–2020),30.0,"Action, Adventure, Comedy            ",7.7,"24,235",https://www.imdb.com/title/tt4975856/
The Alienist,(2018–2020),60.0,"Crime, Drama, Mystery            ",7.7,"51,729",https://www.imdb.com/title/tt4604612/
Doctor Foster,(2015–2017),60.0,Drama            ,7.7,"18,328",https://www.imdb.com/title/tt4602768/
Limitless,(2015–2016),42.0,"Comedy, Crime, Drama            ",7.7,"65,601",https://www.imdb.com/title/tt4422836/
Transparent,(2014–2019),30.0,"Comedy, Drama            ",7.7,"22,339",https://www.imdb.com/title/tt3502262/
12 Monkeys,(2015–2018),42.0,"Adventure, Drama, Mystery            ",7.7,"43,529",https://www.imdb.com/title/tt3148266/
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),20.0,"Animation, Action, Adventure            ",7.7,"10,039",https://www.imdb.com/title/tt2580046/
Shadow and Bone,(2021– ),60.0,"Action, Adventure, Drama            ",7.7,"74,909",https://www.imdb.com/title/tt2403776/
The Paradise,(2012–2013),60.0,Drama            ,7.7,"11,415",https://www.imdb.com/title/tt2391224/
Nashville,(2012–2018),43.0,"Drama, Music, Romance            ",7.7,"24,878",https://www.imdb.com/title/tt2281375/
Father Brown,(2013– ),52.0,"Crime, Drama, Mystery            ",7.7,"10,495",https://www.imdb.com/title/tt2215842/
The Finder,(2012),44.0,"Comedy, Crime, Drama            ",7.7,"15,759",https://www.imdb.com/title/tt1943524/
Major Crimes,(2012–2018),43.0,"Action, Crime, Drama            ",7.7,"13,612",https://www.imdb.com/title/tt1936532/
American Gods,(2017–2021),60.0,"Drama, Fantasy, Mystery            ",7.7,"83,311",https://www.imdb.com/title/tt1898069/
Once Upon a Time,(2011–2018),60.0,"Adventure, Fantasy, Romance            ",7.7,"218,410",https://www.imdb.com/title/tt1843230/
